"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"130","FPOM",NA,NA,NA,NA,NA,"Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","exact","exact",1,"observed","10,35"
"131","FPOM",NA,NA,NA,NA,NA,"Radix peregra","Gastropoda",NA,"Lymnaeidae","Radix","peregra","exact","genus",8,"observed","10,35"
"132","FPOM",NA,NA,NA,NA,NA,"Pisidium","Bivalvia",NA,"Sphaeriidae","Pisidium","","exact","exact",8,"observed","10,35"
"133","FPOM",NA,NA,NA,NA,NA,"Eiseniella tetraedra","Oligochaeta","Haplotaxida","Lumbricidae","Eiseniella","tetraedra","exact","exact",2,"observed","10,35"
"136","FPOM",NA,NA,NA,NA,NA,"Mystacides","Insecta","Trichoptera","Leptoceridae","Mystacides","","exact","genus",1,"observed","10,35"
"137","FPOM",NA,NA,NA,NA,NA,"Sericostoma personatum","Insecta","Trichoptera","Sericostomatidae","Sericostoma","personatum","exact","exact",4,"observed","10,35"
"138","FPOM",NA,NA,NA,NA,NA,"Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",4,"observed","10,35"
"140","FPOM",NA,NA,NA,NA,NA,"Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",1,"observed","10,35"
"141","FPOM",NA,NA,NA,NA,NA,"Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","genus",7,"observed","10,35"
"142","FPOM",NA,NA,NA,NA,NA,"Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","exact","genus",1,"observed","10,35"
"143","FPOM",NA,NA,NA,NA,NA,"Ancylus fluviatalis","Gastropoda",NA,"Planorbidae","Ancylus","fluviatalis","exact","genus",4,"observed","10,35"
"145","FPOM",NA,NA,NA,NA,NA,"Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",4,"observed","10,35"
"146","FPOM",NA,NA,NA,NA,NA,"Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","exact","genus",1,"observed","10,35"
"147","FPOM",NA,NA,NA,NA,NA,"Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","exact","exact",1,"observed","10,35"
"150","FPOM",NA,NA,NA,NA,NA,"Baetis scambus","Insecta","Ephemeroptera","Baetidae","Baetis","scambus","exact","genus",7,"observed","10,35"
"151","FPOM",NA,NA,NA,NA,NA,"Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","exact","exact",5,"observed","10,35"
"152","FPOM",NA,NA,NA,NA,NA,"Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","exact","genus",1,"observed","10,35"
"153","FPOM",NA,NA,NA,NA,NA,"Amphinemoura sulcicollis","Insecta","Plecoptera","Nemouridae","Amphinemoura","sulcicollis","exact","family",3,"observed","10,35"
"154","FPOM",NA,NA,NA,NA,NA,"Limnius volckmari","Insecta","Coleoptera","Elmidae","Limnius","volckmari","exact","exact",9,"observed","10,35"
"156","FPOM",NA,NA,NA,NA,NA,"Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","genus",7,"observed","10,35"
"157","FPOM",NA,NA,NA,NA,NA,"Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",8,"observed","10,35"
"158","FPOM",NA,NA,NA,NA,NA,"Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","exact","genus",7,"observed","10,35"
"159","FPOM",NA,NA,NA,NA,NA,"Orthocladiinae","Insecta","Diptera","Chironomidae","","","exact","exact",1,"observed","10,35"
