"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"95","CPOM",NA,NA,NA,NA,NA,"Silo pallipes","Insecta","Trichoptera","Goeridae","Silo","pallipes","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"97","CPOM",NA,NA,NA,NA,NA,"Glossosoma conformis","Insecta","Trichoptera","Glossosomatidae","Glossosoma","conformis","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"98","CPOM",NA,NA,NA,NA,NA,"Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"99","CPOM",NA,NA,NA,NA,NA,"Oulimnius tuberculatus","Insecta","Coleoptera","Elmidae","Oulimnius","tuberculatus","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"100","CPOM",NA,NA,NA,NA,NA,"Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"103","CPOM",NA,NA,NA,NA,NA,"Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",44,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"104","CPOM",NA,NA,NA,NA,NA,"Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"106","CPOM",NA,NA,NA,NA,NA,"Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"107","CPOM",NA,NA,NA,NA,NA,"Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"108","CPOM",NA,NA,NA,NA,NA,"Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",19,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"109","CPOM",NA,NA,NA,NA,NA,"Eiseniella tetraedra","Oligochaeta","Haplotaxida","Lumbricidae","Eiseniella","tetraedra","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
