"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"643","Caenis rivulorum","Insecta","Ephemeroptera","Caenidae","Caenis","rivulorum","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"646","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Oecetis testacea","Insecta","Trichoptera","Leptoceridae","Oecetis","testacea","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"650","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"651","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",88,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"652","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"653","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"658","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"659","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"660","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"662","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"665","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"667","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"670","Orthocladiinae","Insecta","Diptera","Chironomidae","","","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"677","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"678","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"679","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"680","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"681","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Ondotocerum albicorne","Insecta","Trichoptera","Odontoceridae","Odontocerum","albicorne","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"684","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"685","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",10,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"686","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"688","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"689","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"690","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"692","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"693","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"694","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",55,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"695","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"696","Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
